name,dataset,#events,XS,weighting on 1fb-1,boosted_dataset,globalTag,isData,generator
MC_QCD_Pt_15_30,/QCD_Pt_15to30_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,9800645,1833000000,187028.506797257,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_30_50,/QCD_Pt_30to50_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v2/MINIAODSIM,9930975,139000000,13996.611611649,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_50_80,/QCD_Pt_50to80_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,9968410,19100000,1916.052810829,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_80_120,/QCD_Pt_80to120_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,6986151,2720000,389.341713341,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_120_170,/QCD_Pt_120to170_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,6863827,465000,67.746462724,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_170_300,/QCD_Pt_170to300_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,6914086,118000,17.066608659,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_300_470,/QCD_Pt_300to470_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,5970600,7770,1.301376746,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_300_470_ext1,/QCD_Pt_300to470_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM,18058856,7770,0.430259813,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_470_600,/QCD_Pt_470to600_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,3928870,638,0.162387659,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_470_600_ext1,/QCD_Pt_470to600_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM,15266513,638,0.041790814,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_600_800,/QCD_Pt_600to800_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,3959768,186,0.046972449,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_600_800_ext1,/QCD_Pt_600to800_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM,9344989,186,0.019903715,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_800_1000,/QCD_Pt_800to1000_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,3924080,32.1,0.008180261,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_1000_1400,/QCD_Pt_1000to1400_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,2999069,9.34,0.003114300,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_1400_1800,/QCD_Pt_1400to1800_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,396409,0.839,0.002116501,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_1800_2400,/QCD_Pt_1800to2400_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,396100,0.113,0.000285281,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_2400_3200,/QCD_Pt_2400to3200_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,399226,0.00676,0.000016933,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
MC_QCD_Pt_3200_Inf,/QCD_Pt_3200toInf_TuneCUETP8M1_13TeV_pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,383926,0.000163,0.000000425,NONE,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,Pythia_8
